                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9814,                 3.6439,                 1.5015,                0.48356,                0.46426,                0.43685,                0.29368,                 1.0439,                 2.3014,                 1.6598,             0.00011454,             0.00011454,             0.00011454
                      2,                0.95099,                 2.3072,                 1.4593,                0.60094,                0.68827,                0.72338,                0.48863,                 1.0366,                 1.9462,                 1.6726,             0.00022726,             0.00022726,             0.00022726
                      3,                0.93087,                 1.9023,                 1.4401,                0.66841,                0.71126,                  0.752,                0.50425,                 1.0237,                   1.74,                 1.6084,             0.00033771,             0.00033771,             0.00033771
                      4,                0.92055,                  1.715,                 1.4247,                0.71239,                0.73434,                0.79286,                0.54233,                 1.0659,                 1.3796,                 1.6267,             0.00033475,             0.00033475,             0.00033475
                      5,                0.88002,                 1.5262,                 1.3873,                0.74372,                0.77522,                0.81729,                0.55914,                 1.0602,                 1.2138,                 1.5898,             0.00033475,             0.00033475,             0.00033475
                      6,                0.87388,                 1.4233,                 1.3678,                0.75916,                0.77515,                0.83082,                0.58649,                0.96177,                 1.3074,                 1.5057,             0.00033134,             0.00033134,             0.00033134
                      7,                0.86251,                 1.3499,                 1.3625,                0.76724,                0.82871,                0.86925,                0.61918,                0.97625,                 1.0903,                 1.5188,             0.00032792,             0.00032792,             0.00032792
                      8,                0.84871,                 1.2876,                 1.3466,                0.78374,                0.82639,                0.85387,                0.61851,                0.96184,                 1.0207,                  1.471,             0.00032451,             0.00032451,             0.00032451
                      9,                0.84031,                 1.2181,                 1.3391,                0.80572,                0.84699,                0.87628,                0.63544,                0.96085,                 0.9741,                 1.4948,             0.00032109,             0.00032109,             0.00032109
                     10,                0.82105,                 1.1763,                 1.3223,                0.76873,                0.84162,                 0.8676,                0.62268,                0.97725,                0.98466,                 1.4985,             0.00031768,             0.00031768,             0.00031768
                     11,                0.82268,                 1.1518,                   1.32,                0.81623,                0.81735,                0.87941,                0.65111,                0.93752,                0.93044,                 1.4371,             0.00031426,             0.00031426,             0.00031426
                     12,                0.80593,                 1.1074,                  1.312,                0.82005,                0.85959,                0.89718,                0.67043,                0.91224,                0.84583,                 1.4233,             0.00031084,             0.00031084,             0.00031084
                     13,                0.79648,                 1.0806,                 1.3009,                0.79288,                0.85744,                0.89578,                0.66316,                0.92167,                0.90164,                 1.4171,             0.00030743,             0.00030743,             0.00030743
                     14,                0.78794,                 1.0381,                 1.2927,                0.80761,                0.87413,                0.89201,                0.65031,                0.93635,                0.83013,                 1.4363,             0.00030401,             0.00030401,             0.00030401
                     15,                0.79512,                 1.0143,                 1.2992,                0.84835,                0.85017,                0.90625,                0.68126,                0.89947,                0.79277,                 1.3908,              0.0003006,              0.0003006,              0.0003006
                     16,                 0.7776,                0.98583,                 1.2825,                0.81182,                0.87322,                0.89945,                0.67495,                0.89879,                0.83545,                 1.3916,             0.00029718,             0.00029718,             0.00029718
