                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9085,                 4.5426,                 4.7141,                 3.8911,                0.51387,                0.10932,                0.06151,                0.02054,                0.53595,                0.14577,                0.07943,                 0.0303,                 2.3048,                 3.6191,                 3.9293,                 3.5723,             0.00013298,             0.00013298,             0.00013298
                      2,                 2.0702,                 2.9202,                 3.6349,                 2.8378,                0.49818,                0.29998,                0.27583,                0.12543,                0.56645,                0.27971,                0.28774,                0.14987,                 1.6926,                 2.9179,                 3.0072,                 2.6677,             0.00026301,             0.00026301,             0.00026301
                      3,                 1.5678,                 2.4275,                 2.8987,                 2.2357,                0.42746,                0.48424,                0.41925,                0.23752,                0.43316,                0.47422,                0.40455,                0.24263,                 1.3651,                 2.6151,                 2.2982,                  2.283,             0.00038975,             0.00038975,             0.00038975
                      4,                 1.3439,                 2.1226,                 2.4642,                 1.9871,                0.50726,                0.52287,                0.54343,                 0.3549,                0.49587,                0.51127,                0.52395,                0.35438,                 1.2163,                 2.2849,                 1.8987,                 2.0433,             0.00038515,             0.00038515,             0.00038515
                      5,                 1.2088,                 1.8818,                 2.1503,                 1.8282,                0.53097,                0.60969,                0.60502,                0.42397,                0.51121,                0.58795,                0.57608,                0.40727,                  1.066,                 2.2467,                 1.7635,                 1.8501,              0.0003802,              0.0003802,              0.0003802
                      6,                 1.0961,                 1.7198,                  1.935,                 1.7081,                0.60674,                  0.596,                0.63604,                0.46055,                0.60038,                0.57495,                0.60608,                0.45381,                 1.0032,                 2.0196,                 1.6722,                 1.7519,             0.00037525,             0.00037525,             0.00037525
                      7,                 1.0128,                 1.5774,                 1.7864,                 1.6211,                0.74209,                0.57663,                0.67293,                0.50504,                0.74663,                0.54785,                0.63639,                0.48525,                0.95112,                 1.8921,                 1.5442,                 1.6869,              0.0003703,              0.0003703,              0.0003703
                      8,                0.96178,                 1.5312,                 1.6801,                 1.5573,                0.68217,                0.61788,                0.69377,                0.53235,                0.67165,                0.59854,                0.66477,                0.52109,                 0.8543,                 1.7581,                 1.4007,                 1.5666,             0.00036535,             0.00036535,             0.00036535
                      9,                0.92204,                 1.4391,                 1.5786,                 1.5151,                0.67088,                0.65174,                0.71155,                0.55213,                0.67118,                0.63075,                0.69247,                0.54371,                0.83486,                 1.7334,                 1.3457,                 1.5317,              0.0003604,              0.0003604,              0.0003604
                     10,                 0.8743,                 1.3745,                 1.4966,                 1.4683,                0.67803,                0.65558,                0.71004,                0.55677,                0.68331,                0.64026,                0.68375,                0.53435,                0.83225,                 1.6892,                 1.3588,                   1.52,             0.00035545,             0.00035545,             0.00035545
