                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90706,                 1.9089,                 1.4551,                0.66412,                0.72516,                0.76327,                0.53063,                 1.0072,                 1.2162,                 1.5907,             0.00011477,             0.00011477,             0.00011477
                      2,                0.91002,                 1.2652,                 1.4183,                0.75931,                0.79223,                0.84099,                0.59784,                0.97005,                0.97506,                 1.5638,             0.00022219,             0.00022219,             0.00022219
                      3,                0.90616,                 1.1892,                 1.4139,                0.76607,                0.82673,                0.85566,                0.62368,                 0.9041,                0.86311,                 1.5049,             0.00032202,             0.00032202,             0.00032202
                      4,                0.88683,                 1.1014,                  1.393,                0.79846,                0.80763,                0.86588,                0.63137,                0.96006,                0.86336,                 1.5147,             0.00031084,             0.00031084,             0.00031084
                      5,                0.85125,                0.98906,                 1.3655,                0.79424,                0.84455,                0.88085,                0.64966,                0.87805,                0.79511,                 1.4477,             0.00029946,             0.00029946,             0.00029946
                      6,                0.81243,                0.89773,                 1.3298,                0.80874,                0.85234,                0.89069,                0.66477,                0.84549,                0.73465,                  1.382,             0.00028807,             0.00028807,             0.00028807
                      7,                0.78875,                0.84538,                   1.31,                0.84791,                0.85976,                0.91742,                0.69392,                0.85984,                 0.6558,                 1.3864,             0.00027669,             0.00027669,             0.00027669
                      8,                0.77437,                0.79597,                 1.3003,                0.86244,                0.86353,                0.92757,                0.71476,                0.82348,                0.60618,                 1.3399,              0.0002653,              0.0002653,              0.0002653
                      9,                0.75472,                0.77608,                 1.2866,                0.87837,                0.84374,                0.92146,                0.70213,                0.84742,                0.62722,                  1.352,             0.00025392,             0.00025392,             0.00025392
                     10,                0.73846,                0.72645,                 1.2717,                0.80763,                    0.9,                 0.9124,                 0.7093,                0.79314,                0.61466,                  1.299,             0.00024253,             0.00024253,             0.00024253
                     11,                0.71173,                 0.6887,                 1.2482,                0.87457,                0.89041,                0.93516,                 0.7285,                0.81689,                0.55346,                 1.3406,             0.00023115,             0.00023115,             0.00023115
                     12,                 0.7026,                0.66568,                 1.2445,                0.85204,                 0.8957,                0.93025,                0.73417,                0.75911,                0.55736,                 1.2655,             0.00021976,             0.00021976,             0.00021976
                     13,                0.68952,                0.63789,                 1.2359,                0.88809,                0.88196,                0.94181,                0.74247,                0.78493,                0.54062,                 1.2808,             0.00020838,             0.00020838,             0.00020838
                     14,                0.67641,                0.61786,                 1.2255,                 0.8377,                0.91379,                0.93415,                0.74509,                0.75101,                0.53979,                 1.2569,             0.00019699,             0.00019699,             0.00019699
                     15,                0.66746,                0.59748,                 1.2173,                0.89278,                0.89303,                0.94024,                0.74929,                0.75165,                0.51881,                 1.2649,             0.00018561,             0.00018561,             0.00018561
                     16,                0.65086,                0.57943,                 1.2097,                0.90576,                0.90481,                0.95018,                0.75876,                0.74796,                 0.4786,                 1.2668,             0.00017422,             0.00017422,             0.00017422
                     17,                0.63869,                0.56442,                 1.1976,                0.88111,                0.90327,                 0.9422,                0.74976,                0.76469,                0.50454,                 1.2924,             0.00016284,             0.00016284,             0.00016284
                     18,                0.63219,                0.54348,                  1.194,                 0.8994,                 0.9014,                0.94289,                0.75542,                0.76222,                0.48737,                 1.2776,             0.00015145,             0.00015145,             0.00015145
                     19,                0.61821,                0.52266,                 1.1848,                0.89813,                0.91083,                0.94221,                0.75818,                0.74745,                 0.4753,                 1.2728,             0.00014007,             0.00014007,             0.00014007
                     20,                0.61049,                0.50748,                 1.1767,                0.89407,                 0.9156,                 0.9495,                0.76675,                0.73295,                0.46722,                 1.2419,             0.00012869,             0.00012869,             0.00012869
                     21,                0.53282,                0.37386,                 1.1855,                0.89053,                0.92182,                0.94668,                0.76019,                0.74916,                0.47479,                 1.2671,              0.0001173,              0.0001173,              0.0001173
                     22,                0.51283,                0.34381,                 1.1637,                0.89096,                0.92305,                0.93941,                0.75747,                0.73827,                0.45458,                 1.2547,             0.00010592,             0.00010592,             0.00010592
                     23,                0.50296,                0.32761,                 1.1497,                  0.907,                0.91076,                0.95546,                0.77309,                0.71766,                0.42355,                 1.2353,              9.453e-05,              9.453e-05,              9.453e-05
                     24,                0.48109,                0.30254,                 1.1352,                0.91708,                0.91418,                0.94902,                0.76642,                0.74375,                0.43884,                 1.2742,             8.3145e-05,             8.3145e-05,             8.3145e-05
                     25,                0.46265,                0.28437,                 1.1153,                0.91001,                 0.9224,                0.95304,                0.77705,                0.72533,                0.42281,                 1.2481,              7.176e-05,              7.176e-05,              7.176e-05
                     26,                0.44331,                 0.2635,                 1.0983,                0.91872,                0.91912,                0.95441,                0.77883,                0.72767,                0.41492,                 1.2635,             6.0375e-05,             6.0375e-05,             6.0375e-05
                     27,                0.43395,                0.25311,                 1.0894,                0.90166,                0.92774,                0.94839,                0.77132,                0.73384,                0.44385,                 1.2767,              4.899e-05,              4.899e-05,              4.899e-05
                     28,                0.41183,                0.23966,                  1.078,                0.91219,                 0.9102,                0.94836,                0.77022,                0.74337,                0.43412,                 1.3007,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     29,                0.40033,                0.22893,                 1.0618,                0.91972,                0.91789,                0.95384,                0.77821,                0.74219,                0.42504,                 1.3071,              2.622e-05,              2.622e-05,              2.622e-05
                     30,                0.38486,                0.21674,                 1.0511,                0.91963,                0.91533,                0.95399,                0.77917,                0.73456,                0.42685,                 1.2933,             1.4835e-05,             1.4835e-05,             1.4835e-05
